club,number,loft,hand,lie,volume,length,sw,Type_Check,Type
Qi35 LS Driver,,8°,RH,54°–58°,460CC,45.75”,D4,✅ Golf Club,Driver
Qi35 LS Driver,,9°,RH/LH,54°–58°,460CC,45.75”,D4,✅ Golf Club,Driver
Qi35 LS Driver,,10.5°,RH/LH,54°–58°,460CC,45.75”,D4,✅ Golf Club,Driver
Qi35 Driver,,9°,RH/LH,56°–60°,460CC,45.75”,D3,✅ Golf Club,Driver
Qi35 Driver,,10.5°,RH/LH,56°–60°,460CC,45.75”,D3,✅ Golf Club,Driver
Qi35 Driver,,12°,RH,56°–60°,460CC,45.75”,D3,✅ Golf Club,Driver
Qi35 Max Driver,,9°,RH/LH,58°–62°,460CC,45.75”,D5,✅ Golf Club,Driver
Qi35 Max Driver,,10.5°,RH/LH,58°–62°,460CC,45.75”,D5,✅ Golf Club,Driver
Qi35 Max Driver,,12°,RH,58°–62°,460CC,45.75”,D5,✅ Golf Club,Driver
Qi35 Max Lite Driver,,10.5°,RH/LH,58°–62°,460CC,45.75”,D0,✅ Golf Club,Driver
Qi35 Max Lite Driver,,12°,RH/LH,58°–62°,460CC,45.75”,D0,✅ Golf Club,Driver
Qi35 Max Women’s Lite Driver,,10.5°,RH,58°–62°,460CC,44”,C3,✅ Golf Club,Driver
Qi35 Max Women’s Lite Driver,,12°,RH,58°–62°,460CC,44”,C3,✅ Golf Club,Driver
Qi35 Tour Fairway,3,15°,RH/LH,57°–61°,170CC,43.25”,D3,✅ Golf Club,Fairway
Qi35 Tour Fairway,5,18°,RH/LH,57.5°–61.5°,150CC,42.25”,D3,✅ Golf Club,Fairway
Qi35 Tour Fairway,7,21°,RH,58°–62°,150CC,41.75”,D3,✅ Golf Club,Fairway
Qi35 Fairway,3,15°,RH/LH,57°–61°,185CC,43.25”,D3,✅ Golf Club,Fairway
Qi35 Fairway,3HL,16.5°,RH,57°–61°,185CC,43.25”,D3,✅ Golf Club,Fairway
Qi35 Fairway,5,18°,RH/LH,57.5°–61.5°,165CC,42.25”,D3,✅ Golf Club,Fairway
Qi35 Fairway,7,21°,RH,60°,165CC,41.75”,D3,✅ Golf Club,Fairway
Qi35 Max Fairway,3,15.5°,RH/LH,57°–61°,190CC,43.25”,D1,✅ Golf Club,Fairway
Qi35 Max Fairway,5,18.5°,RH/LH,57.5°–61.5°,175CC,42.25”,D1,✅ Golf Club,Fairway
Qi35 Max Fairway,7,21.5°,RH/LH,60°,175CC,41.75”,D1,✅ Golf Club,Fairway
Qi35 Max Fairway,9,24.5°,RH,60.5°,165CC,41.5”,D1,✅ Golf Club,Fairway
Qi35 Max Lite Fairway,3,15.5°,RH/LH,57°–61°,190CC,43.25”,D1,✅ Golf Club,Fairway
Qi35 Max Lite Fairway,5,18.5°,RH/LH,57.5°–61.5°,175CC,42.25”,D1,✅ Golf Club,Fairway
Qi35 Max Lite Fairway,7,21.5°,RH/LH,60°,175CC,41.75”,D1,✅ Golf Club,Fairway
Qi35 Max Women’s Fairway,3,15.5°,RH,57°–61°,190CC,42”,C5,✅ Golf Club,Fairway
Qi35 Max Women’s Fairway,5,18.5°,RH,57.5°–61.5°,175CC,41”,C5,✅ Golf Club,Fairway
Qi35 Max Women’s Fairway,7,21.5°,RH,60°,175CC,40.5”,C5,✅ Golf Club,Fairway
Qi35 Rescue,2,17°,RH,56°–60°,,41.25”,D2/D3,✅ Golf Club,Hybrid
Qi35 Rescue,3,19°,RH/LH,56.5°–60.5°,,40.75”,D2/D3,✅ Golf Club,Hybrid
Qi35 Rescue,4,22°,RH/LH,57°–61°,,40.25”,D2/D3,✅ Golf Club,Hybrid
Qi35 Rescue,5,25°,RH/LH,57.5°–61.5°,,39.75”,D2/D3,✅ Golf Club,Hybrid
Qi35 Max Rescue,3,20°,RH/LH,59°,,40.75”,D2,✅ Golf Club,Hybrid
Qi35 Max Rescue,4,23°,RH/LH,59.5°,,40.25”,D2,✅ Golf Club,Hybrid
Qi35 Max Rescue,5,27°,RH/LH,60°,,39.75”,D2,✅ Golf Club,Hybrid
Qi35 Max Rescue,6,31°,RH,60.5°,,39.25”,D2,✅ Golf Club,Hybrid
Qi35 Max Rescue,7,35°,RH,61°,,38.75”,D2,✅ Golf Club,Hybrid
Qi35 Max Lite Rescue,4,23°,RH/LH,59.5°,,40.25”,D0,✅ Golf Club,Hybrid
Qi35 Max Lite Rescue,5,27°,RH/LH,60°,,39.75”,D0,✅ Golf Club,Hybrid
Qi35 Max Lite Rescue,6,31°,RH,60.5°,,39.25”,D0,✅ Golf Club,Hybrid
Qi35 Max Lite Rescue,7,35°,RH,61°,,38.75”,D0,✅ Golf Club,Hybrid
Qi35 Max Lite Women’s Rescue,4,23°,RH,59.5°,,38.75”,C4,✅ Golf Club,Hybrid
Qi35 Max Lite Women’s Rescue,5,27°,RH,60°,,38.25”,C4,✅ Golf Club,Hybrid
Qi35 Max Lite Women’s Rescue,6,31°,RH,60.5°,,37.75”,C4,✅ Golf Club,Hybrid
Qi35 Max Lite Women’s Rescue,7,35°,RH,61°,,37.25”,C4,✅ Golf Club,Hybrid
P·UDI,2,18°,RH/LH,60°,,39.75”,D2,⚠️ Unknown / Check Manually,Other
P·UDI,3,20°,RH/LH,60.5°,,39.25”,D2,⚠️ Unknown / Check Manually,Other
P·UDI,4,22°,RH/LH,61°,,38.75”,D2,⚠️ Unknown / Check Manually,Other
